Neighbourhood,Plannedـtransactionـdetails,Detailsـtransaction,Date,transactionـnumber,Total_price,Area,Price_per_meter
الرمال,مخطط/3083,قطعة 440/1,"Sunday, 20 March 2022 ",16474730,1495000.00,487.5,"3,067"
الرمال,مخطط/3083,قطعة 441/1,"Wednesday, 30 March 2022 ",16603126,1200000.00,321.6,"3,731"
الرمال,مخطط/3083,قطعة 441/1,"Wednesday, 30 March 2022 ",16609575,1000000.00,321.6,"3,109"
الرمال,مخطط/3083,قطعة 55/1/55/2,"Wednesday, 9 March 2022 ",16393635,1809171.00,280.69,"6,445"
الرمال,مخطط/3083,قطعة 55/1/55/2,"Thursday, 10 March 2022 ",16407584,1000000.00,280.69,"3,563"
الرمال,مخطط/3083,قطعة 743/2,"Tuesday, 8 March 2022 ",16380462,1389632.00,435,"3,195"
الرمال,مخطط/3083,قطعة 763/2,"Wednesday, 30 March 2022 ",16603719,1264144.00,420,"3,010"
الرمال,مخطط/3083,قطعة 816/2,"Monday, 14 March 2022 ",16402083,1200000.00,420,"2,857"
الرمال,مخطط/3083,قطعة 988/2,"Wednesday, 16 March 2022 ",16450261,1145000.00,375,"3,053"
الرمال,مخطط/3083,قطعة 988/2,"Wednesday, 16 March 2022 ",16455918,1000000.00,375,"2,667"
الرمال,مخطط/3088,قطعة 175/1,"Tuesday, 1 March 2022 ",16315476,1354980.00,375,"3,613"
الرمال,مخطط/3121,قطعة 20/2,"Thursday, 24 March 2022 ",16533008,1129431.00,420,"2,689"
الرمال,مخطط/3121,قطعة 20/2,"Thursday, 24 March 2022 ",16539425,1850000.00,420,"4,405"
الرمال,مخطط/3121,قطعة 266/1,"Thursday, 31 March 2022 ",16619514,1500000.00,435,"3,448"
الرمال,مخطط/3121,قطعة 330/2,"Tuesday, 15 March 2022 ",16440111,1103393.00,390,"2,829"
الرمال,مخطط/3203/ 1,قطعة 1827/2,"Sunday, 20 March 2022 ",16483416,1421875.00,437.5,"3,250"
الرمال,مخطط/3240/ أ,قطعة 304/1,"Thursday, 10 March 2022 ",16398308,1170000.00,240,"4,875"
الرمال,مخطط/3240/ أ,قطعة 325/1,"Thursday, 3 March 2022 ",16338504,1575000.00,300,"5,250"
الرمال,مخطط/3240/ أ,قطعة 336/1,"Thursday, 24 March 2022 ",16529556,690000.00,345,"2,000"
الرمال,مخطط/3240/ أ,قطعة 338/1,"Thursday, 24 March 2022 ",16529689,740000.00,370,"2,000"
الرمال,مخطط/3240/ أ,قطعة 431,"Thursday, 17 March 2022 ",16463026,1035000.00,450,"2,300"
الرمال,مخطط/3240/ أ,قطعة 433,"Thursday, 17 March 2022 ",16462885,1035000.00,450,"2,300"
الرمال,مخطط/3240/ أ,قطعة 474/2,"Wednesday, 2 March 2022 ",16328928,1450000.00,336,"4,315"
الرمال,مخطط/3240/ أ,قطعة 543,"Thursday, 17 March 2022 ",16462019,720000.00,360,"2,000"
الرمال,مخطط/3240/ أ,قطعة 578/580/1,"Monday, 14 March 2022 ",16434945,924000.00,330,"2,800"
الرمال,مخطط/3240/ أ,قطعة 586/588/1,"Tuesday, 1 March 2022 ",16320526,891000.00,330,"2,700"
الرمال,مخطط/3240/ أ,قطعة 588/1,"Tuesday, 1 March 2022 ",16320515,891000.00,330,"2,700"
الرمال,مخطط/3240/ أ,قطعة 590/1,"Tuesday, 1 March 2022 ",16320576,891000.00,330,"2,700"
الرمال,مخطط/3240/ أ,قطعة 634,"Monday, 7 March 2022 ",16372645,787500.00,281.25,"2,800"
الرمال,مخطط/3240/ أ,قطعة 635,"Monday, 7 March 2022 ",16372561,787500.00,281.25,"2,800"
الرمال,مخطط/3240/ أ,قطعة 661,"Monday, 28 March 2022 ",16583891,963750.00,385.5,"2,500"
الرمال,مخطط/3240/ أ,قطعة 782,"Tuesday, 1 March 2022 ",16315086,575000.00,250,"2,300"
الرمال,مخطط/3240/ أ,قطعة 784,"Tuesday, 1 March 2022 ",16315002,575000.00,250,"2,300"
الرمال,مخطط/3240/ أ,قطعة 791,"Thursday, 10 March 2022 ",16405128,575000.00,250,"2,300"
